,name,stars,no_of_ratings,price,discount,sleeve,fit,collar
196,Highlander Men Checked Casual Shirt,4.6,9 Ratings,â‚¹666,(71% OFF),Long Sleeves,Slim Fit,Cutaway Collar
197,Highlander Blue Lightweight Slim Fit Denim Shirt,3.9,4.2k Ratings,â‚¹389,(61% OFF),Long Sleeves,Slim Fit,Spread Collar
198,Black Classic Ethnic Motifs Printed Spread Collar Casual Shirt,3.8,62 Ratings,â‚¹664,(65% OFF),Long Sleeves,Regular Fit,Spread Collar
199,Men White Pure Cotton Casual Shirt,4.2,3.5k Ratings,â‚¹531,(62% OFF),Long Sleeves,Regular Fit,Spread Collar
200,Men Slim Fit Tartan Checks Checked Casual Shirt,4.2,5 Ratings,â‚¹1494,(35% OFF),Long Sleeves,Slim Fit,Spread Collar
201,Men Opaque Casual Shirt,3.8,5 Ratings,â‚¹1199,(52% OFF),Long Sleeves,Regular Fit,Spread Collar
202,Men Grey Solid Regular Fit Pure Cotton Casual Shirt,4,845 Ratings,â‚¹614,(59% OFF),Long Sleeves,Regular Fit,Spread Collar
203,Cuban Collar Self-Striped Oversized Casual Shirt,4.1,1.1k Ratings,â‚¹333,(77% OFF),Short Sleeves,Oversized,Cuban Collar
204,Classic Tartan Checked Cotton Casual Shirt,,,â‚¹989,(67% OFF),Long Sleeves,Regular Fit,Spread Collar
205,Men Mustard Solid Regular Fit Pure Cotton Sustainable Casual Shirt,4.4,195 Ratings,â‚¹645,(62% OFF),Long Sleeves,Regular Fit,Mandarin Collar
206,Men Beige & White Striped Casual Pure Cotton Shirt,4.2,228 Ratings,â‚¹545,(74% OFF),Long Sleeves,Regular Fit,Mandarin Collar
207,Men Opaque Printed Casual Shirt,3.2,5 Ratings,â‚¹1349,(46% OFF),Long Sleeves,Regular Fit,Hood
208,Men Spread Collar Tartan Checked Cotton Casual Shirt,2.6,226 Ratings,â‚¹695,(52% OFF),Long Sleeves,Regular Fit,Spread Collar
209,The Lifestyle Co Men Grey Printed Pure Cotton Casual Shirt,4.2,430 Ratings,â‚¹730,(57% OFF),Short Sleeves,Regular Fit,Spread Collar
210,Men Spread Collar Solid Casual Shirt,,,â‚¹1079,(46% OFF),Long Sleeves,Regular Fit,Spread Collar
211,Men Navy Blue & Red Slim Fit Tartan Checked Casual Shirt,3.9,801 Ratings,â‚¹242,(73% OFF),Long Sleeves,Slim Fit,Spread Collar
212,Striped Spread Collar Cotton Slim Fit Casual Shirt,3.8,1.2k Ratings,â‚¹509,(70% OFF),Short Sleeves,Slim Fit,Spread Collar
213,Full Sleeves Cotton Cutaway Collar Shirt,,,MRPâ‚¹ 4590,,Long Sleeves,Regular Fit,Spread Collar
214,Men Opaque Printed Casual Shirt,4.3,2.9k Ratings,â‚¹543,(68% OFF),Short Sleeves,Regular Fit,Cuban Collar
215,Men Standard Opaque Casual Pure Cotton Shirt,4.1,4.1k Ratings,â‚¹699,(Rs. 500 OFF),Long Sleeves,Regular Fit,Spread Collar
216,Men Spread Collar Tartan Checked Cotton Casual Shirt,3.5,34 Ratings,â‚¹703,(68% OFF),Long Sleeves,Regular Fit,Spread Collar
217,Men Comfort Floral Opaque Casual Shirt,,,â‚¹639,(60% OFF),Short Sleeves,Regular Fit,Spread Collar
218,Men Maroon Slim Fit Casual Shirt,4.2,2.1k Ratings,â‚¹721,(62% OFF),Long Sleeves,Slim Fit,Mandarin Collar
219,Smart Floral Embroidered Cuban Collar Cotton Oversized Casual Shirt,4,38 Ratings,â‚¹769,(78% OFF),Short Sleeves,Oversized,Cuban Collar
220,Men Black Comfort Casual Shirt,4.3,1.2k Ratings,â‚¹559,(68% OFF),Long Sleeves,Regular Fit,Spread Collar
221,Self Design Relaxed Fit Casual Crochet Shirt,4.3,108 Ratings,â‚¹425,(77% OFF),Long Sleeves,Oversized,Spread Collar
222,Men Spread Collar Textured Relaxed Fit Casual Shirt,4,11 Ratings,â‚¹791,(64% OFF),Long Sleeves,Relaxed Fit,Spread Collar
